image_path,label,label_id,split
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/333.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0026.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0018.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/google_0068.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/316.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0106.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0322.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/44.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/149.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/66.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/349.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0274.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/107.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/29.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0181.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0059.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/56.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0139.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/44.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0114.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0311.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0052.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0156.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/102.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0079.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/348.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/google_0088.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0019.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/google_0210.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0072.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/73.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/430.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/249.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/google_0075.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/147.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/182.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/212.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/google_0015.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/zgoogle_0154.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/265.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/254.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/332.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/115.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0222.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0262.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/547.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/116.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/60.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/341.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/441.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/google_0166.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0247.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/133.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/168.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0153.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/258.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0143.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/207.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/336.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/216.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/31 - Copy (2).jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/170.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0074.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/zgoogle_0075.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0108.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/268.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/104.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0049.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/343.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/70.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/google_0101.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0020.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/76.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/139.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0134.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0121.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z196.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/232.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0278.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/7.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/46.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/137.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0005.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/43.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/170.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0059.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0008.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/google_0090.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0021.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/288.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/182.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z339.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/google_0002.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/142.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0059.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0093.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0122.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/375.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0061.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0048.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/109.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/309.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/262.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/google_0134.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z307.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/229.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/321.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/189 - Copy (4).jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/265.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/300.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0173.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0250.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/zgoogle_0284.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0219.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/18.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/88.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/34.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0140.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0110.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/179.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/68 - Copy (2).jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0022.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/google_0001.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0211.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/zgoogle_0200.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/221.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0008.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0175.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/270.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/110.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/153.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0068.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/201.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/zgoogle_0296.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0092.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/74.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/125.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/google_0048.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/76.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/53.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/108 - Copy.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0108.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/85.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/176.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/414.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/363.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/310.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/221.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/81.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0197.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/289.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/68.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/51.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/134.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0130.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/10.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/google_0228.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0050.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/google_0073.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/132.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0017.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/google_0028.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/96.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/google_0333.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/google_0405.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0334.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/google_0129.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0041.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/137.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/276.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0178.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0147.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/google_0152.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0096.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0010.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0033.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0056.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/409.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0088.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/429.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/google_0249.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/357.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/196.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/258.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z39.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/16.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0291.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/200.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0148.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/16.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0095.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0225.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0031.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/202.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/408.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/462.jpg,plum leaf,11,train
